band_prefix,band_suffix,band_n,sex,territory,year,month,day,presence_absence
2661,76971,266176971,male,10A,2022,6,22,1
2981,13824,298113824,female,10A,2022,6,23,1
2661,76971,266176971,male,10A,2022,6,23,1
2981,13824,298113824,female,10A,2022,6,26,1
2661,76971,266176971,male,10A,2022,6,26,1
2981,13824,298113824,female,10A,2022,6,30,NA
2661,76971,266176971,male,10A,2022,6,30,1
2661,76971,266176971,male,10A,2022,7,6,NA
2981,13824,298113824,female,10A,2022,7,6,1
2661,76971,266176971,male,10A,2022,7,8,1
2981,13824,298113824,female,10A,2022,7,8,0
2981,13758,298113758,male,10B,2022,6,20,1
2981,13758,298113758,male,10B,2022,6,26,1
2981,13758,298113758,male,10B,2022,6,27,1
,13721,,male,28A,2022,4,6,1
,13721,,male,28A,2022,4,24,1
,13721,,male,28A,2022,4,27,1
,13721,,male,28A,2022,5,3,1
,13721,,male,28A,2022,5,9,1
,13721,,male,28A,2022,5,11,1
,13721,,male,28A,2022,5,17,1
,13721,,male,28A,2022,5,19,0
,13721,,male,28A,2022,5,27,1
,13721,,male,28A,2022,6,4,1
,13721,,male,28A,2022,6,5,1
,13721,,male,28A,2022,6,15,1
,13721,,male,28A,2022,6,16,1
,13721,,male,28A,2022,6,20,1
,gmwy,,male,28A,2022,6,20,1
,13721,,male,28A,2022,6,25,1
,13721,,male,28A,2022,6,28,1
,13752,,male,28A,2022,6,28,1
,13721,,male,28A,2022,7,6,0
2981,13757,298113757,male,28B,2022,6,20,1
2981,13757,298113757,male,28B,2022,6,25,1
2981,13757,298113757,male,28B,2022,7,6,0
2661,76989,226176989,male,1,2021,4,20,NA
2261,76997,226176997,female,1,2021,4,20,0
2661,76989,226176989,male,1,2021,4,29,1
2261,76997,226176997,female,1,2021,4,29,1
2661,76989,226176989,male,1,2021,5,14,1
2261,76997,226176997,female,1,2021,5,14,1
2661,76989,226176989,male,1,2021,5,19,1
2261,76997,226176997,female,1,2021,5,19,1
2661,76989,226176989,male,1,2021,5,29,NA
2261,76997,226176997,female,1,2021,5,29,NA
2261,76997,226176997,female,1,2021,6,1,NA
2661,76989,226176989,male,1,2021,6,1,1
2261,76997,226176997,female,1,2021,6,5,NA
2661,76989,226176989,male,1,2021,6,5,1
2661,76989,226176989,male,1,2021,6,9,1
2261,76997,226176997,female,1,2021,6,9,0
2261,76997,226176997,female,1,2021,6,11,NA
2661,76989,226176989,male,1,2021,6,11,1
2661,76989,226176989,male,1,2021,6,13,1
2261,76997,226176997,female,1,2021,6,13,0
2661,76989,226176989,male,1,2021,6,27,1
2261,76997,226176997,female,1,2021,6,27,0
2661,76989,226176989,male,1,2021,7,11,0
2261,76997,226176997,female,1,2021,7,11,0
2261,76657,226176657,male,2,2021,4,21,1
2261,76657,226176657,male,2,2021,5,5,1
2261,76657,226176657,male,2,2021,5,14,1
2261,76657,226176657,male,2,2021,6,27,0
2261,76657,226176657,male,2,2021,7,11,0
2261,76849,2276176849,male,3,2021,4,28,NA
,,coo,female,3,2021,4,28,NA
2261,76849,2276176849,male,3,2021,5,5,NA
,,coo,female,3,2021,5,5,NA
2261,76849,2276176849,male,3,2021,5,15,1
,,coo,female,3,2021,5,15,1
2261,76849,2276176849,male,3,2021,5,21,1
,,coo,female,3,2021,5,21,1
,,coo,female,3,2021,5,27,NA
2261,76849,2276176849,male,3,2021,5,27,1
2261,76657,226176657,male,3,2021,5,27,1
2261,76657,226176657,male,3,2021,5,29,1
,,mgbr,NA,3,2021,6,1,1
2261,76849,2276176849,male,3,2021,6,3,NA
,,coo,female,3,2021,6,3,1
2261,76657,226176657,male,3,2021,6,3,1
2261,76849,2276176849,male,3,2021,6,13,NA
,,coo,female,3,2021,6,13,1
2261,76849,2276176849,male,3,2021,6,30,1
,,coo,female,3,2021,6,30,1
